Date,BTC-USD,CSPX.L,BNO,AMZN
2018-12-17,119112.84951150409,183227.66017215222,1594.8896264474813,175468.18094665548
2018-12-18,124158.18446222725,180971.8421262154,1522.8746537270467,178995.05153494244
2018-12-19,125834.14540669037,181000.7580613967,1538.237905292311,172488.15141141202
2018-12-20,138884.3433972783,175397.35510742967,1461.4220137526154,168536.71111424523
2018-12-21,130892.87288918305,174442.9747927663,1456.6210033616976,158917.1166245544
2018-12-24,137008.486819409,169757.79896018174,1411.4916522017331,155053.35904896806
2018-12-25,128170.13755557322,172346.21093893517,1504.6309241275503,169698.50013352867
2018-12-26,129574.51632639872,172346.21093893517,1504.6309241275503,169698.50013352867
2018-12-27,122773.33270802346,172346.21093893517,1456.6210033616976,168630.1679951331
2018-12-28,131812.45513184177,175939.61990942643,1439.3374025830617,170519.93766992824
2018-12-31,125724.96305797716,177385.6593814179,1471.984163355307,173283.0559816283
2019-01-01,129111.69896855808,177067.528932395,1494.0687745248597,177570.22843423302
2019-01-02,132467.18837207093,177067.528932395,1494.0687745248597,177570.22843423302
2019-01-03,128883.98492256016,174464.6645022536,1515.1930737302418,173088.08656345285
2019-01-04,129588.62236108561,177964.0773766956,1553.6010652859175,181753.56460251188
2019-01-07,135216.32331362087,180219.89542263254,1561.2826452827214,187997.41656130092
2019-01-08,135404.42564593419,180378.960647144,1590.088524484908,191120.4903308992
2019-01-09,135553.85940060287,182851.68682036086,1664.0238464187164,191448.15274662222
2019-01-10,123582.60083872083,182974.6098839971,1669.7849856304908,191078.95863383194
2019-01-11,123866.14853829349,183097.5219152277,1639.058665643275,189272.2664364868
2019-01-14,124493.87528304361,182714.32233774234,1601.6109860517697,186578.35353658354
2019-01-15,121961.80925201274,183950.67990814787,1643.8597676058487,193194.8641037471
2019-01-16,122779.15554792323,185447.3250248082,1664.9840668112308,194258.57691469672
2019-01-17,123570.48769149258,185425.63531532072,1658.2627072069422,195347.66785996838
2019-01-18,122874.30567259627,188693.69864350077,1696.670607190961,195691.46975512145
2019-01-21,120126.2450860136,188332.1887755028,1666.90450759626,188304.3060868325
2019-01-22,121085.11919622181,187182.59004304698,1666.90450759626,188304.3060868325
2019-01-23,120431.61613343617,186192.03447029134,1655.3820460293982,189209.9618492282
2019-01-24,120960.43661171889,186582.47130587613,1659.2229275994564,190930.1402401698
2019-01-25,120923.49848367827,188599.70254745142,1668.8247652379748,192734.52277379218
2019-01-28,116579.52869948064,186423.4060813646,1625.6159464346968,188964.22207909374
2019-01-29,115829.3008848944,186589.70856397576,1658.2627072069422,183886.76438371866
2019-01-30,117107.97192334729,188202.02845376707,1673.6258672005492,192718.3832943621
2019-01-31,116154.33016786612,191079.65494636213,1660.183147991971,198290.7709422753
2019-02-01,117167.21726903238,191838.81684323322,1707.23284836531,187618.9978769342
2019-02-04,116200.0599640371,191961.7399068694,1703.3919667952505,188435.83016920328
2019-02-05,116442.03586719814,193422.23183024867,1684.1881083748976,191377.77841964876
2019-02-06,114675.44364987165,193357.1627017864,1701.4715260102214,189237.64964727298
2019-02-07,114195.20697942925,190486.77346729086,1675.5463079855792,186250.70520417596
2019-02-08,123174.64939486586,190045.74201944287,1687.068586409128,183233.763299311
2019-02-11,122558.24848378004,191809.9119404574,1678.4267860198097,183554.4967238652
2019-02-12,122729.49738511555,194080.18243778203,1696.6706071909618,188978.06597811604
2019-02-13,122008.67901261493,194723.6805939277,1729.3173679632062,189207.6521855052
2019-02-14,121498.42601254808,194087.41969588178,1757.1630267728788,187205.97648666918
2019-02-15,121630.44045461502,196111.86613074524,1802.2924695045008,185510.02139818796
2019-02-18,131536.85437855488,196769.8167382788,1808.0536087162736,187774.74526176532
2019-02-19,132590.9770276315,196733.67457740344,1808.0536087162736,187774.74526176532
2019-02-20,134362.1537062312,197189.1805414507,1822.4565483173676,187142.5170675491
2019-02-21,132826.9168601357,196661.36819084166,1824.376989102398,186835.62754201744
2019-02-22,134553.83175431393,197890.51056795896,1824.376989102398,188233.93175985897
2019-02-25,130427.70999301647,199206.38971821454,1761.9641287354511,188400.05854812803
2019-02-26,129475.76588240734,198476.1547889306,1784.0486483333482,188792.3211315172
2019-02-27,129364.55784150373,197348.2457659622,1808.0536087162736,189333.40210856852
2019-02-28,129490.12615376599,197861.58360037187,1804.212910289529,189188.03412717534
2019-03-01,129651.3122036127,198013.41156678385,1765.8048271621965,192868.3565198858
2019-03-04,126358.39782606559,197919.41547073465,1785.0088687258622,195688.01934285226
2019-03-05,130887.20587175938,198006.17430868433,1792.6904487226666,195256.5347261188
2019-03-06,131141.417939893,197051.80502642647,1792.6904487226666,192547.62309533177
2019-03-07,131394.7606826332,195244.2556864371,1798.4515879344412,187586.6907514435
2019-03-08,131046.98951932036,193790.9789563461,1789.8097875451228,186992.54384202536
2019-03-11,131184.57256461543,196827.67067345275,1813.8147479280494,192740.29693309954
2019-03-12,131316.55420195052,198237.54591975766,1813.8147479280494,193026.41356843986
2019-03-13,131234.624384205,199604.063811899,1840.7003694885186,195069.6350476585
2019-03-14,131827.58631439836,199481.14074826273,1827.2576502799416,194540.0742225912
2019-03-15,133055.10657474535,200623.52428743037,1824.376989102397,197555.86129559472
2019-03-18,135460.1690864964,200478.91151430673,1833.97900988423,200992.7535818935
2019-03-19,136759.60552019766,202127.3956297844,1834.9392302767442,203265.54718518598
2019-03-20,137306.69003292668,199763.12903641045,1858.944190659671,207351.97606030776
2019-03-21,135353.3322761089,201809.26518076146,1841.660589881034,209888.9726602033
2019-03-22,135173.32451137467,199546.209876725,1817.6556294981065,203602.43417248534
2019-03-25,133127.64603800455,198526.7494011936,1824.376989102397,204697.29927706442
2019-03-26,133867.01548635509,199871.57758384757,1842.6208102735486,205793.3192135048
2019-03-27,137292.9120455581,198627.98275534247,1833.9790098842313,203709.72086908034
2019-03-28,136689.63302720425,199047.32449370294,1833.9790098842313,204600.39198390744
2019-03-29,137672.78263896666,200825.96893091666,1845.5012883077789,205446.05282276735
2019-04-01,139681.87563516345,202922.72175234198,1885.829629076827,209304.03623904623
2019-04-02,163925.0809308815,203334.84829741437,1894.4714294661464,209279.8129365859
2019-04-03,167053.97985046144,204715.8186409435,1895.4316498586609,210055.09944847226
2019-04-04,165366.881699542,204036.1783239226,1890.6307310394009,209842.82163568996
2019-04-05,169192.42190426405,205200.22950776634,1924.2377122041617,211967.9516771818
2019-04-08,177694.22742425586,205200.22950776634,1941.521129839484,213419.30774407455
2019-04-09,174845.20207428336,204614.5852867947,1929.0386310234205,211801.81080559728
2019-04-10,178862.5843507474,204918.26328442973,1955.9242525838913,213127.4169494269
2019-04-11,170126.50383839165,205250.8461848407,1937.6804314127387,212751.3079287831
2019-04-12,170968.02722166086,206118.45662914868,1954.003811798861,212634.7966606116
2019-04-15,170214.53533625742,206118.45662914868,1946.3222318020576,212843.60997780948
2019-04-16,175873.15474854253,206725.81262441908,1958.8047306181213,214939.89738939476
2019-04-17,176423.3393084294,205959.39140463725,1956.8842898330915,215145.24621100826
2019-04-18,177983.61436609412,206031.69779119908,1965.5260902224088,214784.13592124838
2019-04-19,178165.91026087344,208157.3775802114,2022.1778113775808,217739.94215403157
2019-04-22,181375.72205151236,208157.3775802114,2022.1778113775808,217739.94215403157
2019-04-23,187187.04749046618,208157.3775802114,2033.7002729444434,221946.34679290932
2019-04-24,183576.05023191214,208547.81441579628,2031.7798321594157,219405.88569742956
2019-04-25,175031.87740076208,208070.61874226172,2024.0982521626108,219463.57095724222
2019-04-26,177344.10252143414,208244.13641816116,1959.764951010636,225045.19726004722
2019-04-29,176269.30469012164,209205.76502332973,1969.3669717924702,223637.6825539448
2019-04-30,179741.84957798698,208482.74528733405,1982.8096910010474,222263.61572187897
2019-05-01,181487.6517965163,209610.65431030246,1985.6903521785916,220533.05792749932
2019-05-02,184933.73966816068,206928.25726790537,1941.521129839484,219298.58491751927
2019-05-03,160488.03766904207,237640.89540066084,2081.802375423895,230638.46922878054
2019-05-06,159890.34372515357,233969.43776675948,2107.4403366759225,229238.75460925605
2019-05-07,162191.10404311577,233969.43776675948,2046.9347324729652,225765.8796650464
2019-05-08,166446.71861486885,233566.07861133237,2063.343207628214,225386.27561412074
2019-05-09,171790.61544994178,230042.79065223856,2065.3940958707644,223282.57194006207
2019-05-10,177475.31031839014,229030.24763034662,2078.725945259008,222120.24614255823
2019-05-13,168290.0072814486,249193.57603349717,2183.0071699244513,241850.73373466037
2019-05-14,172155.46461549972,252110.95544747193,2224.3809897668584,244164.8330286113
2019-05-15,176693.89498213894,252606.20758726975,2249.422918389636,248282.19599529216
2019-05-16,169797.29358930496,255901.7790447467,2273.376040419866,253114.74178965372
2019-05-17,158146.85409967377,255073.37277173513,2253.7781447598377,247996.91006097264
2019-05-20,171808.61043241195,252390.086071456,2252.689338167287,246666.02922980854
2019-05-21,171485.99303630152,253650.70789719932,2255.9555502763133,246473.63575181787
2019-05-22,165386.11424045265,253425.60078244458,2209.1381128084045,246760.2498781896
2019-05-23,169731.34429302692,249922.92088699064,2111.147596165141,240895.35871257627
2019-05-24,172003.76651323505,250526.2200452478,2148.166189637346,241930.34427046796
2019-05-27,189627.7170304324,250400.146871115,2165.586679780901,243675.21608529624
2019-05-28,187779.70671163904,250400.146871115,2165.586679780901,243675.21608529624
